"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"result.87",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.36984379,-6.786784902,4.076300147,-2.634500213,9.57789049,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,72,26,20,22,22,11,9,1,6,7,6,6,0,0,0,0,0,0,0,0,0,404,0,0,0,564,453,0,548,478,645,0,290,0,603,428,18,0,0,0,0,0,0,0,0,392,62,70,136,23,36,0,641,243,2,292,405,54,7,436,1,32,0,0,0,1117,12,0,7988
"result.88",1.734929173,8.15138245,-5.324582863,-0.622786073,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-5.514802714,-3.504289305,-5.648902291,-7.108390794,-2.354858671,2.739305338,-6.193887534,98,98,74,25,17,21,25,11,8,1,6,6,5,6,0,0,0,0,0,0,0,0,0,401,0,0,0,589,415,0,507,774,716,0,319,0,597,409,37,0,0,0,0,0,0,0,0,359,91,73,133,23,102,0,6,0,0,143,561,0,0,404,1,181,0,0,0,1321,159,68,7988
"result.89",1.734929173,8.15138245,-5.324582863,-0.622786073,-7.352204658,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,72,26,20,23,22,12,9,1,6,7,6,6,0,0,0,0,0,0,0,0,0,406,0,0,0,564,454,0,550,477,645,0,284,0,603,429,14,0,0,0,0,0,0,0,0,390,64,69,135,24,36,0,644,243,2,308,394,54,7,437,1,32,0,0,0,1116,12,0,7988
"result.90",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-4.989907752,-8.05479507,-7.214750969,0.297693261,-7.429887994,98,98,72,26,21,21,25,11,8,1,5,7,6,6,0,0,0,0,0,0,0,0,0,405,0,0,0,588,458,0,554,628,673,0,275,0,599,428,16,0,0,0,0,0,0,0,0,424,67,73,60,11,46,0,288,129,0,360,401,38,3,370,1,13,0,0,0,1458,27,0,7988
"result.91",1.734929173,8.15138245,-5.231681741,-1.553127472,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-4.989907752,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,72,26,20,23,22,12,9,1,6,7,6,6,0,0,0,0,0,0,0,0,0,406,0,0,0,564,454,0,550,477,645,0,284,0,603,429,14,0,0,0,0,0,0,0,0,390,64,69,135,24,36,0,644,243,2,308,394,54,7,437,1,32,0,0,0,1116,12,0,7988
"result.92",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-2.47145822,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-7.214750969,-8.11049934,-5.206070766,98,98,71,26,21,22,25,11,10,1,4,7,6,6,0,0,0,0,0,0,0,0,0,406,0,0,0,581,450,0,545,619,658,0,298,0,594,422,25,0,0,0,0,0,0,0,0,479,79,89,107,37,48,0,315,215,0,325,551,92,10,460,1,49,0,0,0,907,32,0,7988
"result.93",2.051594429,8.15138245,-5.324582863,-1.635206211,-6.576156114,8.976321192,-6.310246223,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,71,28,19,21,24,13,10,1,5,8,6,5,0,0,0,0,0,0,0,0,0,407,0,0,0,558,453,0,544,609,644,0,303,0,605,419,13,0,0,0,0,0,0,0,0,434,63,72,168,30,56,0,328,245,8,272,494,57,7,453,3,43,0,0,0,1106,0,0,7987
"result.94",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.091834183,-3.396179384,-6.786784902,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-7.214750969,0.297693261,-4.941230585,98,98,70,26,22,23,23,11,9,1,5,7,6,6,0,0,0,0,0,0,0,0,0,405,0,0,0,588,464,0,557,631,702,0,273,0,580,425,19,0,0,0,0,0,0,0,0,395,65,55,59,11,30,0,283,127,0,350,355,141,30,355,1,8,0,0,0,1466,18,0,7988
"result.95",1.734929173,8.15138245,-5.324582863,-1.635206211,-5.195783851,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,2.217766061,-6.630423507,98,98,72,23,19,24,25,11,9,1,3,6,6,6,0,0,0,0,0,0,0,0,0,401,0,0,0,580,465,0,552,568,666,0,226,0,597,432,16,0,0,0,0,0,0,0,0,381,61,70,68,14,32,0,452,136,0,470,322,49,3,313,1,6,0,0,0,1480,28,0,7988
"result.96",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,98,98,71,23,19,21,23,11,10,1,5,6,6,6,0,0,0,0,0,0,0,0,0,398,0,0,0,589,427,0,530,784,784,0,360,0,622,409,69,0,0,0,0,0,0,0,0,631,174,143,209,87,61,0,1,0,9,276,745,0,5,456,77,122,0,0,0,102,98,221,7991
"result.97",1.60387509,-1.116553281,4.245075509,-4.871673853,-6.84449811,-8.25736057,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-6.004888211,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,73,25,20,24,22,11,9,1,6,8,7,6,0,0,0,0,0,0,0,0,0,408,0,0,0,514,475,0,574,526,604,0,254,0,578,452,84,0,0,0,0,0,0,0,0,614,158,132,289,62,49,0,545,353,0,471,653,143,13,371,0,72,0,0,0,0,2,0,7988
"result.98",1.734929173,8.15138245,-5.324582863,-2.258391642,-6.871744432,8.976321192,-5.441905356,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,72,27,21,22,23,12,10,1,5,8,6,6,0,0,0,0,0,0,0,0,0,409,0,0,0,561,450,0,545,607,644,0,308,0,603,419,15,0,0,0,0,0,0,0,0,434,63,72,162,30,57,0,332,246,8,264,499,57,7,450,1,46,0,0,0,1105,2,0,7987
"result.99",1.734929173,8.15138245,-5.324582863,-0.622786073,-7.568281234,8.090146513,-3.396179384,-6.786784902,4.076300147,-3.551790664,9.639722551,-5.648902291,-8.05479507,-7.214750969,-7.549923995,-6.630423507,98,98,70,25,20,21,25,10,9,1,3,7,6,6,0,0,0,0,0,0,0,0,0,399,0,0,0,582,448,0,550,617,665,0,298,0,590,427,21,0,0,0,0,0,0,0,0,507,95,114,105,38,47,0,313,141,0,334,579,45,8,489,1,44,0,0,0,901,29,0,7988
"result.100",1.882265965,9.530719611,9.449052529,-5.955352321,-8.823207528,7.261581495,-6.804145528,3.218527026,-6.265229322,1.525643138,2.785590966,7.423245469,-9.878677055,-7.214750969,1.132245678,-3.714783429,98,98,75,30,21,23,27,6,7,0,5,4,5,4,0,1,1,2,0,0,0,0,0,407,0,0,0,536,223,0,248,701,605,0,343,0,406,300,20,0,0,0,0,0,0,0,0,80,16,3,123,774,73,936,110,344,14,0,10,539,242,162,43,0,0,0,0,1073,1,65,7990
